rating,date,content,cleaned_content,month,season,tokens,review_length
4,2025-12-19,캔끼리 부디쳐서 깨진건지 한박스는 완전 젖어 왔네요. 그냥 한개니까 반품은 안하겠지만 포장을 좀더 신경써주셔야 할것같아요.,캔끼리 부디쳐서 깨진건지 한박스는 완전 젖어 왔네요 그냥 한개니까 반품은 안하겠지만 포장을 좀더 신경써주셔야 할것같아요,12,Winter,캔끼리 부디쳐서 깨진건지 한박스는 완전 젖어 왔네요 그냥 한개니까 반품은 안하겠지만 포장을 좀더 신경써주셔야 할것같아요,66
4,2025-11-06,배송도 빠르고 코카콜라는 언제나 만족합니다 사은품 도시락도 좋아요,배송도 빠르고 코카콜라는 언제나 만족합니다 사은품 도시락도 좋아요,11,Fall,배송도 빠르고 코카콜라는 언제나 만족합니다 사은품 도시락도 좋아요,36
5,2025-11-09,완전 빠르게 휴일인데도 와버렸네요. 제로콜라는 항상 코카콜라제로만 마십니다. 가격이 좋아서 90개 질렀어요.,완전 빠르게 휴일인데도 와버렸네요 제로콜라는 항상 코카콜라제로만 마십니다 가격이 좋아서 90개 질렀어요,11,Fall,완전 빠르게 휴일인데도 와버렸네요 제로콜라는 항상 코카콜라제로만 마십니다 가격이 좋아서 90개 질렀어요,57
5,2025-08-23,잘받았습니다 맛있어요 감사합니다 ^^,잘받았습니다 맛있어요 감사합니다,8,Summer,잘받았습니다 맛있어요 감사합니다,17
4,2026-01-12,배송도 빠르고 제품도 쿠폰사용하여 저렴하게 구매했어요 코카콜라 제로 항상만족합니다,배송도 빠르고 제품도 쿠폰사용하여 저렴하게 구매했어요 코카콜라 제로 항상만족합니다,1,Winter,배송도 빠르고 제품도 쿠폰사용하여 저렴하게 구매했어요 코카콜라 제로 항상만족합니다,45
5,2025-10-28,원래 저런거 보낸건지 배송자가 던져서 그런건지 모르겠으나찌그러진 상태가 너무 심함안터진게 신기할정도 ㅋㅋㅋ비닐포장되어 있고 박스에 넣어서 에어쿠션 까지 들어 있는데 누구 잘못인가???에어쿠션이 있는데 이정로 찌끄러짐이면 원래 그런건가? ㅋㅋㅋ,원래 저런거 보낸건지 배송자가 던져서 그런건지 모르겠으나찌그러진 상태가 너무 심함안터진게 신기할정도 비닐포장되어 있고 박스에 넣어서 에어쿠션 까지 들어 있는데 누구 잘못인가에어쿠션이 있는데 이정로 찌끄러짐이면 원래 그런건가,10,Fall,원래 저런거 보낸건지 배송자가 던져서 그런건지 모르겠으나찌그러진 상태가 너무 심함안터진게 신기할정도 비닐포장되어 있고 박스에 넣어서 에어쿠션 까지 들어 있는데 누구 잘못인가에어쿠션이 있는데 이정로 찌끄러짐이면 원래 그런건가,124
5,2025-09-17,사은품도 맘에 들고 배송도 빠르고 좋아요,사은품도 맘에 들고 배송도 빠르고 좋아요,9,Fall,사은품도 맘에 들고 배송도 빠르고 좋아요,22
4,2025-10-04,배송은 빠르고 쿠폰사용하여 평소보다 더저렴하게 구매했어요,배송은 빠르고 쿠폰사용하여 평소보다 더저렴하게 구매했어요,10,Fall,배송은 빠르고 쿠폰사용하여 평소보다 더저렴하게 구매했어요,31
5,2025-09-23,가격 완전 착하고 배송 빠르고 맛도 좋은 음료수 우리 애가 너무 좋아합니다 양 엄청나서 명절후까지 넉넉하게 먹겠어요 ㅎㅎ,가격 완전 착하고 배송 빠르고 맛도 좋은 음료수 우리 애가 너무 좋아합니다 양 엄청나서 명절후까지 넉넉하게 먹겠어요,9,Fall,가격 완전 착하고 배송 빠르고 맛도 좋은 음료수 우리 애가 너무 좋아합니다 양 엄청나서 명절후까지 넉넉하게 먹겠어요,64
5,2026-01-16,카카오톡 선물하기에서 큰 용량이랑 백팩 판매해서 살뻔 했는데 지마켓에서 작은 용량이랑 백팩 판매해서 너무 신나게 구매 했어요 오예!,카카오톡 선물하기에서 큰 용량이랑 백팩 판매해서 살뻔 했는데 지마켓에서 작은 용량이랑 백팩 판매해서 너무 신나게 구매 했어요 오예,1,Winter,카카오톡 선물하기에서 큰 용량이랑 백팩 판매해서 살뻔 했는데 지마켓에서 작은 용량이랑 백팩 판매해서 너무 신나게 구매 했어요 오예,72
5,2025-09-17,시리얼볼이 큼직하니 넘 맘에 들어서 재주문 해야겠어요!,시리얼볼이 큼직하니 넘 맘에 들어서 재주문 해야겠어요,9,Fall,시리얼볼이 큼직하니 넘 맘에 들어서 재주문 해야겠어요,29
5,2025-09-17,배송 빠르고 유통기한 길고 도시락 증정 넘 좋네요!,배송 빠르고 유통기한 길고 도시락 증정 넘 좋네요,9,Fall,배송 빠르고 유통기한 길고 도시락 증정 넘 좋네요,27
5,2025-03-13,배송은 빠르고 쿠폰 사용하여 저렴하개 구매했어요,배송은 빠르고 쿠폰 사용하여 저렴하개 구매했어요,3,Spring,배송은 빠르고 쿠폰 사용하여 저렴하개 구매했어요,26
5,2025-08-19,잘받았어요. 아이가 제로 먹고싶다해서 샀어요.,잘받았어요 아이가 제로 먹고싶다해서 샀어요,8,Summer,잘받았어요 아이가 제로 먹고싶다해서 샀어요,23
5,2025-07-31,사무실에서잘마시고있어요.고객들드리기좋아요~~,사무실에서잘마시고있어요고객들드리기좋아요,7,Summer,사무실에서잘마시고있어요고객들드리기좋아요,21
5,2026-01-11,코카콜라제로 매출이 떨어지니 행사도 하는군코카콜라제로 매출이 떨어지니 행사도 하는군코카콜라제로 매출이 떨어지니 행사도 하는군,코카콜라제로 매출이 떨어지니 행사도 하는군코카콜라제로 매출이 떨어지니 행사도 하는군코카콜라제로 매출이 떨어지니 행사도 하는군,1,Winter,코카콜라제로 매출이 떨어지니 행사도 하는군코카콜라제로 매출이 떨어지니 행사도 하는군코카콜라제로 매출이 떨어지니 행사도 하는군,69
5,2025-12-12,손장갑 너무 이쁘네요코카콜라 더 할인된 가격으로 사야하는데 아쉽네요콜라는 역시 코카콜라배송도 빠르고 포장도 잘되어 왔어요,손장갑 너무 이쁘네요코카콜라 더 할인된 가격으로 사야하는데 아쉽네요콜라는 역시 코카콜라배송도 빠르고 포장도 잘되어 왔어요,12,Winter,손장갑 너무 이쁘네요코카콜라 더 할인된 가격으로 사야하는데 아쉽네요콜라는 역시 코카콜라배송도 빠르고 포장도 잘되어 왔어요,67
5,2025-11-03,만족합니다.수요일에 쓰려고 주문했는데 벌써 도착했네요.빠른 배송 감사해요.도시락통도 잘 받았습니다.,만족합니다수요일에 쓰려고 주문했는데 벌써 도착했네요빠른 배송 감사해요도시락통도 잘 받았습니다,11,Fall,만족합니다수요일에 쓰려고 주문했는데 벌써 도착했네요빠른 배송 감사해요도시락통도 잘 받았습니다,51
5,2025-11-10,쿠폰쓰니 다른곳보다 더 싸네요 ㅎㅎ 행사하길레 샀어요 ㅎㅎ 넘싸게잘샀어요 맛있어요 작은캔입니다.,쿠폰쓰니 다른곳보다 더 싸네요 행사하길레 샀어요 넘싸게잘샀어요 맛있어요 작은캔입니다,11,Fall,쿠폰쓰니 다른곳보다 더 싸네요 행사하길레 샀어요 넘싸게잘샀어요 맛있어요 작은캔입니다,46
5,2025-11-08,떨어질라고 하면 행사가 있어서 항상 쟁여 놓네요 사은품 도시락도 허접하지 않고 마음에 듭니다,떨어질라고 하면 행사가 있어서 항상 쟁여 놓네요 사은품 도시락도 허접하지 않고 마음에 듭니다,11,Fall,떨어질라고 하면 행사가 있어서 항상 쟁여 놓네요 사은품 도시락도 허접하지 않고 마음에 듭니다,51
4,2025-11-03,코카콜라 제로 할인해서 싸게 잘 샀습니다.근데 리뉴얼 되기전 제로 콜라 로 보내주셨네요. ㅠㅠ 그게 아쉽네요.,코카콜라 제로 할인해서 싸게 잘 샀습니다근데 리뉴얼 되기전 제로 콜라 로 보내주셨네요 그게 아쉽네요,11,Fall,코카콜라 제로 할인해서 싸게 잘 샀습니다근데 리뉴얼 되기전 제로 콜라 로 보내주셨네요 그게 아쉽네요,55
5,2025-11-12,제로라 칼로리 신경 안쓰고 두캔이나 마셨네요맛있어요,제로라 칼로리 신경 안쓰고 두캔이나 마셨네요맛있어요,11,Fall,제로라 칼로리 신경 안쓰고 두캔이나 마셨네요맛있어요,28
5,2025-12-17,배송빠르고 제품도 좋아요 저렴하게 잘 구매했습니다,배송빠르고 제품도 좋아요 저렴하게 잘 구매했습니다,12,Winter,배송빠르고 제품도 좋아요 저렴하게 잘 구매했습니다,27
5,2025-11-11,"할인행사 때 저렴하게 구매했어요 마니 파세여,,,",할인행사 때 저렴하게 구매했어요 마니 파세여,11,Fall,할인행사 때 저렴하게 구매했어요 마니 파세여,24
5,2025-12-18,사이즈 작아 먹기 편해요 달력도 사이즈 좋아요,사이즈 작아 먹기 편해요 달력도 사이즈 좋아요,12,Winter,사이즈 작아 먹기 편해요 달력도 사이즈 좋아요,25
