rating,date,content,cleaned_content,month,season,tokens,review_length
5,2021-03-27,"개인적인 생각이지만.
제가 다른 사이트에서 제로콜라 주문할 때 늘 느낀 거지만
롯데몰은 다른 사이트 보다 공평하게 카드 할인 다 되게끔 해주세요
예를들면 오늘 두세 개 카드사 할인해 주면
내일은 또 다른 카드사 할인해 주고
타 사이트는 무슨 선착순 쿠폰에 통신사 할인에 스마일ㅋㄹ 카드사 할인 엄청 복잡하고 적용 안되는 것도 많아서 불편한 게 많았는데
롯데 여긴 그런 게 없고 진짜 공평하게 다 적용시켜 줘서 너무 좋습니다
할인 적용도 엄청 간편하고 편합니다.
적용도 바로바로 됩니다.
그리고 배송도 빠르고
롯데에서 주문해서 문제 된 적 한 번도 없고 배송 느리다고 느껴본 적도 한 번도 없네요
다음에 또 구매하겠습니다.
감사합니다.",개인적인 생각이지만 제가 다른 사이트에서 제로콜라 주문할 때 늘 느낀 거지만 롯데몰은 다른 사이트 보다 공평하게 카드 할인 다 되게끔 해주세요 예를들면 오늘 두세 개 카드사 할인해 주면 내일은 또 다른 카드사 할인해 주고 타 사이트는 무슨 선착순 쿠폰에 통신사 할인에 스마일 카드사 할인 엄청 복잡하고 적용 안되는 것도 많아서 불편한 게 많았는데 롯데 여긴 그런 게 없고 진짜 공평하게 다 적용시켜 줘서 너무 좋습니다 할인 적용도 엄청 간편하고 편합니다 적용도 바로바로 됩니다 그리고 배송도 빠르고 롯데에서 주문해서 문제 된 적 한 번도 없고 배송 느리다고 느껴본 적도 한 번도 없네요 다음에 또 구매하겠습니다 감사합니다,3,Spring,개인적인 생각이지만 제가 다른 사이트에서 제로콜라 주문할 때 늘 느낀 거지만 롯데몰은 다른 사이트 보다 공평하게 카드 할인 다 되게끔 해주세요 예를들면 오늘 두세 개 카드사 할인해 주면 내일은 또 다른 카드사 할인해 주고 타 사이트는 무슨 선착순 쿠폰에 통신사 할인에 스마일 카드사 할인 엄청 복잡하고 적용 안되는 것도 많아서 불편한 게 많았는데 롯데 여긴 그런 게 없고 진짜 공평하게 다 적용시켜 줘서 너무 좋습니다 할인 적용도 엄청 간편하고 편합니다 적용도 바로바로 됩니다 그리고 배송도 빠르고 롯데에서 주문해서 문제 된 적 한 번도 없고 배송 느리다고 느껴본 적도 한 번도 없네요 다음에 또 구매하겠습니다 감사합니다,347
5,2021-03-02,"최근에 여기서만 계속 주문합니다.
저렴하게 판매도 하는 것도 있지만
쿠폰 같은 것도 쉽게 적용할 수 있어서 정말 편합니다.
다른 사이트에서 할인 한번 받으려면 스마트폰으로 로그인해서 이것저것 적용하고 무슨 제휴카드 할인카드 등등 엄청 복잡한데 여긴 복잡한 것도 없고
간편하게 할인 적용됩니다.
그리고 믿고 주문하는 빠른 배송 진짜 배송은 엄청 빠릅니다.
별 5개 이상 별점 더 있으면 더 드리고 싶을 정도입니다.
감사합니다.",최근에 여기서만 계속 주문합니다 저렴하게 판매도 하는 것도 있지만 쿠폰 같은 것도 쉽게 적용할 수 있어서 정말 편합니다 다른 사이트에서 할인 한번 받으려면 스마트폰으로 로그인해서 이것저것 적용하고 무슨 제휴카드 할인카드 등등 엄청 복잡한데 여긴 복잡한 것도 없고 간편하게 할인 적용됩니다 그리고 믿고 주문하는 빠른 배송 진짜 배송은 엄청 빠릅니다 별 5개 이상 별점 더 있으면 더 드리고 싶을 정도입니다 감사합니다,3,Spring,최근에 여기서만 계속 주문합니다 저렴하게 판매도 하는 것도 있지만 쿠폰 같은 것도 쉽게 적용할 수 있어서 정말 편합니다 다른 사이트에서 할인 한번 받으려면 스마트폰으로 로그인해서 이것저것 적용하고 무슨 제휴카드 할인카드 등등 엄청 복잡한데 여긴 복잡한 것도 없고 간편하게 할인 적용됩니다 그리고 믿고 주문하는 빠른 배송 진짜 배송은 엄청 빠릅니다 별 5개 이상 별점 더 있으면 더 드리고 싶을 정도입니다 감사합니다,231
5,2020-08-12,"배송 중 캔이 터져서 왔어요;;

집에 콜라가 끈적... 끈적...

캔이 두개 터졌고, 판매자에게 문의하니 터진 개수만큼 환불해주세요.

사실 환불은 기대 안 하고 캔이 터지니 배송에 신경써달라고 이야기 하려고 했는데..

환불도 바로 해줘서 응대는 맘에 들었는데요.

다만.. 이걸 악용하는 구매자 분들도 있을 겁니다.

그냥 배송 시 포장을 튼튼하게 하면 좋을 거 같아요.

집안에 끈쩍한 콜라 닦아내느라 힘들었어요;;",배송 중 캔이 터져서 왔어요 집에 콜라가 끈적 끈적 캔이 두개 터졌고 판매자에게 문의하니 터진 개수만큼 환불해주세요 사실 환불은 기대 안 하고 캔이 터지니 배송에 신경써달라고 이야기 하려고 했는데 환불도 바로 해줘서 응대는 맘에 들었는데요 다만 이걸 악용하는 구매자 분들도 있을 겁니다 그냥 배송 시 포장을 튼튼하게 하면 좋을 거 같아요 집안에 끈쩍한 콜라 닦아내느라 힘들었어요,8,Summer,배송 중 캔이 터져서 왔어요 집에 콜라가 끈적 끈적 캔이 두개 터졌고 판매자에게 문의하니 터진 개수만큼 환불해주세요 사실 환불은 기대 안 하고 캔이 터지니 배송에 신경써달라고 이야기 하려고 했는데 환불도 바로 해줘서 응대는 맘에 들었는데요 다만 이걸 악용하는 구매자 분들도 있을 겁니다 그냥 배송 시 포장을 튼튼하게 하면 좋을 거 같아요 집안에 끈쩍한 콜라 닦아내느라 힘들었어요,211
5,2020-07-01,설탕이 없는데 많이 달아요. 다른 곳보다 저렴하게 샀어요.,설탕이 없는데 많이 달아요 다른 곳보다 저렴하게 샀어요,7,Summer,설탕이 없는데 많이 달아요 다른 곳보다 저렴하게 샀어요,30
5,2020-07-01,제로슈거는 신이내린 음료입니다,제로슈거는 신이내린 음료입니다,7,Summer,제로슈거는 신이내린 음료입니다,16
5,2020-07-05,피자나 치킨먹을때 꼭 필요한 코카콜라..,피자나 치킨먹을때 꼭 필요한 코카콜라,7,Summer,피자나 치킨먹을때 꼭 필요한 코카콜라,20
5,2020-07-02,"갈증날때 하나씩 먹기 딱 좋은 크기에요
완충 포장이 없어서 약간 불안 하긴 했는데
다행히 문제 없는거 같네요",갈증날때 하나씩 먹기 딱 좋은 크기에요 완충 포장이 없어서 약간 불안 하긴 했는데 다행히 문제 없는거 같네요,7,Summer,갈증날때 하나씩 먹기 딱 좋은 크기에요 완충 포장이 없어서 약간 불안 하긴 했는데 다행히 문제 없는거 같네요,60
1,2021-05-24,"5월2일 주문한거 5월21일에 받았네요~ ^^ 며칠째 안와서 문의하니 중간에 파손되어 다시 보낸다네요. 뭐 그럴수도 있지 하고 일주일 넘게 기다려도 안오길래 따졌더니 또 파손되어 왔는데 택배사에서 말도 없이 돌려보낸거라 파악이 늦었다네요. 그리고 18일자로 재발송 했다는데 알고보니 20일날 보냈네요. 택배사 관리도 안되고, 한번 실수한 고객 관리도 더 안되고, 당일 보냈다고 거짓말하는 곳에서는 더 구입하지 않으려고요. 아~ 코카콜라 본사 관리라 하니 어쩔수 없이 사먹어야 하겠네요. 하지만 롯데온에서는 절대 안시킵니다. 롯데온 관계자들은 꼭 상황 파악 해보세요. 개념없는 코카콜라덕에 롯데온 끊으니까요.",5월2일 주문한거 5월21일에 받았네요 며칠째 안와서 문의하니 중간에 파손되어 다시 보낸다네요 뭐 그럴수도 있지 하고 일주일 넘게 기다려도 안오길래 따졌더니 또 파손되어 왔는데 택배사에서 말도 없이 돌려보낸거라 파악이 늦었다네요 그리고 18일자로 재발송 했다는데 알고보니 20일날 보냈네요 택배사 관리도 안되고 한번 실수한 고객 관리도 더 안되고 당일 보냈다고 거짓말하는 곳에서는 더 구입하지 않으려고요 아 코카콜라 본사 관리라 하니 어쩔수 없이 사먹어야 하겠네요 하지만 롯데온에서는 절대 안시킵니다 롯데온 관계자들은 꼭 상황 파악 해보세요 개념없는 코카콜라덕에 롯데온 끊으니까요,5,Spring,5월2일 주문한거 5월21일에 받았네요 며칠째 안와서 문의하니 중간에 파손되어 다시 보낸다네요 뭐 그럴수도 있지 하고 일주일 넘게 기다려도 안오길래 따졌더니 또 파손되어 왔는데 택배사에서 말도 없이 돌려보낸거라 파악이 늦었다네요 그리고 18일자로 재발송 했다는데 알고보니 20일날 보냈네요 택배사 관리도 안되고 한번 실수한 고객 관리도 더 안되고 당일 보냈다고 거짓말하는 곳에서는 더 구입하지 않으려고요 아 코카콜라 본사 관리라 하니 어쩔수 없이 사먹어야 하겠네요 하지만 롯데온에서는 절대 안시킵니다 롯데온 관계자들은 꼭 상황 파악 해보세요 개념없는 코카콜라덕에 롯데온 끊으니까요,324
5,2020-07-01,탄산은 마시고 싶고 칼로리가 걱정되면 선택지가 줄어드는데 제로콜라가 하나의 선택이 될 수 있고요. 콜라에 비해 입안에 끈적임이 남지 않아 좋습니다.,탄산은 마시고 싶고 칼로리가 걱정되면 선택지가 줄어드는데 제로콜라가 하나의 선택이 될 수 있고요 콜라에 비해 입안에 끈적임이 남지 않아 좋습니다,7,Summer,탄산은 마시고 싶고 칼로리가 걱정되면 선택지가 줄어드는데 제로콜라가 하나의 선택이 될 수 있고요 콜라에 비해 입안에 끈적임이 남지 않아 좋습니다,80
5,2021-08-11,"맛있는 콜라를 조금이나마 건강을 생각하는 맘에서 언제부턴가 제로 콜라를 마시고 있습니다.
아무래도 콜라는 페트병보다는 한번에 마실 수 있는 캔을 선호하구요.
지난번엔 250ml를 구입했는데, 햄버거나 피자등을 먹을 때는 좋은데,
평소 잠깐의 갈증을 채우기엔 양이 좀 많은 듯 해서
이번엔 190ml를 구입했습니다.
음식과 상관없이 마실 때는 190ml면 딱 좋네요.
같이 놓고 비교해 보면 확실히 사이즈 차이가 좀 나죠.
둘다 구입해서 그때 그때 상황에 맞게 골라 마시는 게 좋은 듯 하네요.
제로 콜라 적응하면 충분히 맛있구요.
롯데온 할인 덕에 잘 구입했네요.
배송도 잘 받았습니다. 택배기사님께도 진심으로 감사드립니다.",맛있는 콜라를 조금이나마 건강을 생각하는 맘에서 언제부턴가 제로 콜라를 마시고 있습니다 아무래도 콜라는 페트병보다는 한번에 마실 수 있는 캔을 선호하구요 지난번엔 250ml를 구입했는데 햄버거나 피자등을 먹을 때는 좋은데 평소 잠깐의 갈증을 채우기엔 양이 좀 많은 듯 해서 이번엔 190ml를 구입했습니다 음식과 상관없이 마실 때는 190ml면 딱 좋네요 같이 놓고 비교해 보면 확실히 사이즈 차이가 좀 나죠 둘다 구입해서 그때 그때 상황에 맞게 골라 마시는 게 좋은 듯 하네요 제로 콜라 적응하면 충분히 맛있구요 롯데온 할인 덕에 잘 구입했네요 배송도 잘 받았습니다 택배기사님께도 진심으로 감사드립니다,8,Summer,맛있는 콜라를 조금이나마 건강을 생각하는 맘에서 언제부턴가 제로 콜라를 마시고 있습니다 아무래도 콜라는 페트병보다는 한번에 마실 수 있는 캔을 선호하구요 지난번엔 250ml를 구입했는데 햄버거나 피자등을 먹을 때는 좋은데 평소 잠깐의 갈증을 채우기엔 양이 좀 많은 듯 해서 이번엔 190ml를 구입했습니다 음식과 상관없이 마실 때는 190ml면 딱 좋네요 같이 놓고 비교해 보면 확실히 사이즈 차이가 좀 나죠 둘다 구입해서 그때 그때 상황에 맞게 골라 마시는 게 좋은 듯 하네요 제로 콜라 적응하면 충분히 맛있구요 롯데온 할인 덕에 잘 구입했네요 배송도 잘 받았습니다 택배기사님께도 진심으로 감사드립니다,337
